"year","carrier_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","avg_arr_del15","avg_carrier_ct","avg_ontime","num_flights"
2003,"American Airlines Inc.",434707,81756,20006.28,5249.66,38719.99,242.52,17537.37,6420,1052,4468760,1230662,363431,1735041,8604,1131022,18.807150563483,4.60224473035861,81.192849436517,434707
2004,"American Airlines Inc.",698548,148150,32549.49,10859.47,64842.09,452.46,39446.7,12402,1644,8787404,2101534,779736,3110021,21305,2774808,21.2082777418302,4.65959246894988,78.7917222581698,698548
2005,"American Airlines Inc.",673569,144389,34581.76,9411.4,59101.39,227.44,41066.96,9752,1717,8122968,2086897,593395,2723931,9103,2709642,21.4364081482372,5.13410801269061,78.5635918517628,673569
2006,"American Airlines Inc.",643597,145563,34905.6,7451.32,57801.72,454.71,44949.95,10127,1701,8573216,2169731,496936,2822911,19379,3064259,22.6171035601471,5.42351813324176,77.3828964398529,643597
2007,"American Airlines Inc.",633857,178129,42232.73,11083.67,66665.57,192.6,57954.34,17924,2097,10869722,2700300,811124,3275624,7775,4074899,28.1023953352255,6.66281669209301,71.8976046647745,633857
2008,"American Airlines Inc.",604885,163024,44551.91,5648.86,63422.15,129.99,49270.99,17440,1960,9569077,2821907,418677,2987319,6626,3334548,26.9512386652008,7.36535209171991,73.0487613347992,604885
2009,"American Airlines Inc.",551597,114591,36448.57,5926.67,39952.62,77.25,32185.66,9248,1861,6796315,2283295,432667,1884383,3531,2192439,20.7744059521716,6.60782600340466,79.2255940478284,551597
2010,"American Airlines Inc.",540963,99108,32370.28,5325.76,34322.69,122.74,26966.74,9146,1957,5565988,1993052,358453,1502617,5964,1705902,18.3206614870148,5.98382514146069,81.6793385129852,540963
2011,"American Airlines Inc.",538179,103978,35335.76,5362.15,34542.02,52.27,28685.74,13527,2024,5920542,2133621,401882,1508508,2337,1874194,19.3203376571735,6.56580059794232,80.6796623428265,538179
2012,"American Airlines Inc.",525220,109752,35588.89,4408.44,35806.92,114.96,33832.79,9569,1777,6203856,2140405,343832,1419535,4362,2295722,20.8963862762271,6.77599672518183,79.1036137237729,525220
2013,"American Airlines Inc.",537891,108865,31305.32,4643.56,32433.61,87.32,40395.45,9749,1786,6355728,1927664,341701,1406221,6384,2673758,20.239230624792,5.82001186113915,79.760769375208,537891
2014,"American Airlines Inc.",537697,119751,34264.01,4793.77,38059.47,97.56,42536.09,8457,1957,7131277,2196265,408197,1632082,4225,2890508,22.2710931993297,6.37236398938436,77.7289068006703,537697
2015,"American Airlines Inc.",725984,130279,42436.31,5311.33,42396.82,383.62,39750.92,10919,2130,7831435,2753994,467420,1760561,16158,2833302,17.9451613258694,5.84535058623882,82.0548386741306,725984
2016,"American Airlines Inc.",621243,127909,38897.23,4705.15,43594.96,371.38,40340.22,9068,1797,8096936,2709995,463905,1944479,16496,2962061,20.58920583411,6.26119408991329,79.41079416589,621243
2003,"Delta Air Lines Inc.",386319,68346,15556.55,1375.51,38666.62,62.28,12684.88,3474,626,3036886,816871,93238,1406169,3848,716760,17.6915968409527,4.0268663979768,82.3084031590473,386319
2004,"Delta Air Lines Inc.",687638,151942,34104.4,2963.63,79048.93,155.17,35669.89,10717,1197,7160415,1873049,215293,3047433,8486,2016154,22.0962192316306,4.95964446409303,77.9037807683694,687638
2005,"Delta Air Lines Inc.",658302,137098,31153.53,2459,66751.39,87.25,36646.77,17731,1282,7146602,1871056,179922,2859431,5791,2230402,20.826003870564,4.73240701076406,79.173996129436,658302
2006,"Delta Air Lines Inc.",506086,111152,27395.81,2121.12,50469.53,170.97,30994.71,7695,1112,5466946,1560855,145371,1995875,12549,1752296,21.9630655659315,5.41327165738629,78.0369344340685,506086
2007,"Delta Air Lines Inc.",475889,102404,26331.65,1939.49,46540.03,86.66,27506.3,6521,1045,5176517,1530087,152501,1866371,6735,1620823,21.51846333914,5.53314953697186,78.48153666086,475889
2008,"Delta Air Lines Inc.",451931,98840,23618.75,1972.79,46838.63,25.22,26384.6,6813,1184,5125061,1411220,167124,1945194,1365,1600158,21.870595289989,5.22618497071456,78.129404710011,451931
2009,"Delta Air Lines Inc.",428007,85948,19077.7,1938.43,43072.84,33.71,21825.17,4790,1027,4408308,1190233,154579,1786806,1310,1275380,20.0809799839722,4.4573336417395,79.9190200160278,428007
2010,"Delta Air Lines Inc.",732973,149425,48296.56,4292.13,56023.49,81.41,40731.6,14857,1621,8195204,2910046,380885,2317622,3371,2583280,20.3861533780917,6.58913220541548,79.6138466219083,732973
2011,"Delta Air Lines Inc.",732331,118041,35164.67,3467.85,45472.92,32.26,33903.62,10188,1433,6379583,2188241,300469,1827410,2316,2061147,16.1185311013736,4.80174538562481,83.8814688986264,732331
2012,"Delta Air Lines Inc.",726879,92829,28609.38,2215.31,34779.01,34.97,27190.43,3713,1260,5136802,1965386,178807,1361153,2025,1629431,12.7709013467166,3.93592055899262,87.2290986532834,726879
2013,"Delta Air Lines Inc.",754670,113157,37631.64,3452.05,41530.71,75.49,30466.99,2435,1343,6634527,2691572,333994,1749949,7816,1851196,14.9942358911842,4.98650270979368,85.0057641088158,754670
2014,"Delta Air Lines Inc.",800375,122489,39443.06,5447.77,44184.9,41.54,33371.86,6502,1373,6965629,2694134,498602,1833423,3556,1935914,15.3039512728409,4.92807246603155,84.6960487271591,800375
2015,"Delta Air Lines Inc.",875881,118023,38540.26,6330.11,39625.24,51.76,33475.67,3824,1782,7229891,2707569,602901,1779383,3910,2136128,13.474775682998,4.40017079945792,86.525224317002,875881
2016,"Delta Air Lines Inc.",622589,86640,29451.06,3845.13,27608.77,59.45,25675.75,3498,1333,6209505,2524359,377496,1381192,3954,1922504,13.9160826805485,4.73041765916198,86.0839173194515,622589
2003,"ExpressJet Airlines Inc.",199362,38642,5615.2,1384.82,22289.02,103.35,9249.72,3625,614,1929662,308819,114432,984542,2866,519003,19.3828312316289,2.81658490584966,80.6171687683711,199362
2004,"ExpressJet Airlines Inc.",367703,77652,11494.07,2417.23,43118.2,257.57,20365.35,6103,1031,4156258,680607,217272,1987599,8687,1262093,21.118130665238,3.12591140132117,78.881869334762,367703
2005,"ExpressJet Airlines Inc.",403767,88656,13930.07,2715.31,44835.05,311.71,26863.87,9353,1137,4912083,807042,240469,2182174,10403,1671995,21.9572179004228,3.45002687193357,78.0427820995772,403767
2006,"ExpressJet Airlines Inc.",441470,106286,18263,4293.75,47914.79,779.84,35034.29,9716,1956,6414521,1104644,361784,2566776,31415,2349902,24.075475117222,4.13686094185335,75.924524882778,441470
